966	8	(W	E	N	A	T	U	I	H)
Carex_aboriginum|IDA|spm00001838|Racemosae	00100000
Carex_abrupta|BRC|spm00001126|Ovales	00100000
Carex_abscondita|MRY|spm00000676|Careyanae	00100000
Carex_acaulis|CLS|spm00000518|Abditispicae	00001000
Carex_accrescens|KOR|spm00000018|Ammoglochin	01000000
Carex_acicularis|NZ?|spm00005161|Aciculares	00000100
Carex_acidicola|ALA|spm00000658|Griseae	00100000
Carex_acuta|Italy|spm00003084|Phacocystis	11000000
Carex_acutiformis|TVL|spm00002122|Paludosae	11010001
Carex_adelostoma|ARK|spm00001619|Racemosae	11100000
Carex_adusta|ABT|spm00002072|Ovales	00100000
Carex_aematorrhyncha|CLS|spm00000532|Paludosae	00001000
Carex_aequialta|KOR?|spm00000320|Phacocystis	01000000
Carex_aestivalis|PEN|spm00000681|Hymenochlaenae	00100000
Carex_aethiopica|CPP|spm00004365|Spirostachyae	00010000
Carex_aggregata|KTY|spm00000685|Phaestoglochin	00100000
Carex_agrostoides|MXE|spm00000263|Multiflorae	00100000
Carex_alajica|CHX|spm00003353|Careyanae	01000000
Carex_alata|ALA|spm00000687|Ovales	00100000
Carex_alatauensis|AFG|spm00003401|Kobresia	01000001
Carex_alba|SPA|spm00000584|Albae	11000000
Carex_albata|JAP|spm00005254|Phleoideae	01000000
Carex_albicans|ARK|spm00005157|Acrocystis	00100000
Carex_albida|CAL|spm00003602|Aulocystis	00100000
Carex_albolutescens|OKL|spm00000694|Ovales	00101000
Carex_albonigra|ARK|spm00001621|Racemosae	00100000
Carex_albursina|KTY|spm00001384|Laxiflorae	00100000
Carex_allanii|NZS|spm00002185|Aciculares	00000100
Carex_alma|CAL|spm00000703|Multiflorae	00100000
Carex_alopecuroides|KOR?|spm00000321|Molliculae	01000111
Carex_alta|CH?|spm00002237|Planatae	01000011
Carex_amphibola|ALA|spm00000654|Griseae	00100000
Carex_amplifolia|NEV|spm00000715|Anomalae	00100000
Carex_andersonii|AGS|spm00000522|Phacocystis	00001000
Carex_andina|CLC|spm00000527|Junciformes	00001000
Carex_andringitrensis|MDG|spm00000169|Indicae	00010000
Carex_angolensis|MLW|spm00000170|Indicae	00010000
Carex_angustata|CAL|spm00000713|Phacocystis	00100000
Carex_angustilepis|MXE|spm00000356|Schiedeanae	00100000
Carex_angustispica|MXS|spm00000262|Porocystis	00100000
Carex_anisostachys|MXT|spm00000258|Longicaules	00101000
Carex_annectens|ALA|spm00000730|Multiflorae	00100000
Carex_anthoxanthea|WAS|spm00001568|Circinatae	01100000
Carex_antoniensis|CVI|spm00002181|Vesicariae	10000000
Carex_aperta|BRC|spm00001842|Phacocystis	01100000
Carex_aphylla|AGS|spm00000526|Junciformes	00001000
Carex_appalachica|MAS|spm00000721|Phaestoglochin	00100000
